index,filename,width,height,class,xmin,xmax,ymin,ymax
44,TennisBall51.jpg,275,183,TennisBall,158,193,57,91
240,240.jpg,960,1280,TennisBall,473,629,502,656
233,236.jpg,960,1280,TennisBall,434,525,608,706
98,98.jpg,960,1280,TennisBall,238,610,508,876
65,TennisBall79.jpg,265,190,TennisBall,0,85,3,80
153,153.jpg,960,1280,TennisBall,301,618,465,794
188,188.jpg,960,1280,TennisBall,562,725,276,449
10,TennisBall8.jpg,248,203,TennisBall,158,220,64,110
181,181.jpg,960,1280,TennisBall,286,356,824,895
116,116.jpg,960,1280,TennisBall,201,675,480,945
85,85.jpg,960,1280,TennisBall,382,642,565,825
81,81.jpg,960,1280,TennisBall,287,659,532,896
110,110.jpg,960,1280,TennisBall,347,555,545,773
51,TennisBall60.jpg,279,180,TennisBall,129,197,74,142
192,192.jpg,960,1280,TennisBall,183,295,256,371
86,86.jpg,960,1280,TennisBall,344,721,412,796
46,TennisBall53.jpg,275,183,TennisBall,178,199,110,130
22,TennisBall25.jpg,257,196,TennisBall,89,167,57,133
94,94.jpg,960,1280,TennisBall,373,586,493,721
124,124.jpg,960,1280,TennisBall,376,610,497,733
212,212.jpg,960,1280,TennisBall,400,492,532,702
245,245.jpg,960,1280,TennisBall,203,386,667,850
197,197.jpg,960,1280,TennisBall,228,340,315,427
77,TennisBall94.jpg,250,187,TennisBall,92,136,40,89
4,TennisBall2.jpg,301,168,TennisBall,104,188,41,117
30,TennisBall34.jpg,300,168,TennisBall,165,216,66,121
170,170.jpg,960,1280,TennisBall,640,694,491,540
246,246.jpg,960,1280,TennisBall,408,669,852,1102
113,113.jpg,960,1280,TennisBall,452,564,567,681
59,TennisBall71.jpg,189,267,TennisBall,13,105,65,157
149,149.jpg,960,1280,TennisBall,402,532,570,691
38,TennisBall45.jpg,274,184,TennisBall,113,180,61,128
179,179.jpg,960,1280,TennisBall,669,731,821,878
232,235.jpg,960,1280,TennisBall,356,652,407,698
80,TennisBall99.jpg,291,173,TennisBall,70,123,13,66
241,241-0.jpg,960,1280,TennisBall,371,566,571,767
215,215.jpg,960,1280,TennisBall,381,583,559,757
34,TennisBall40.jpg,194,259,TennisBall,52,129,28,113
139,139.jpg,960,1280,TennisBall,340,707,459,823
16,TennisBall16.jpg,301,167,TennisBall,160,183,77,103
107,107.jpg,960,1280,TennisBall,395,565,504,679
104,104.jpg,1280,960,TennisBall,511,764,324,594
244,244.jpg,960,1280,TennisBall,347,583,514,747
60,TennisBall72.jpg,300,168,TennisBall,140,203,47,108
93,93.jpg,960,1280,TennisBall,262,494,577,819
23,TennisBall26.jpg,272,185,TennisBall,110,166,64,118
8,TennisBall6.jpg,270,186,TennisBall,36,153,36,150
223,226.jpg,1280,960,TennisBall,605,675,384,453
119,119.jpg,960,1280,TennisBall,334,525,612,820
109,109.jpg,960,1280,TennisBall,311,467,624,788
222,225.jpg,1280,960,TennisBall,513,568,358,415
55,TennisBall64.jpg,300,300,TennisBall,94,213,97,213
143,143.jpg,960,1280,TennisBall,371,558,585,756
229,232.jpg,1280,960,TennisBall,577,710,384,499
90,90.jpg,960,1280,TennisBall,220,669,401,848
41,TennisBall48.jpg,189,267,TennisBall,153,165,94,107
165,165.jpg,960,1280,TennisBall,136,346,205,418
12,TennisBall10.jpg,277,182,TennisBall,75,115,105,148
128,128.jpg,960,1280,TennisBall,398,500,525,632
72,TennisBall86.jpg,205,246,TennisBall,81,108,170,196
126,126.jpg,960,1280,TennisBall,387,660,540,816
234,237.jpg,1280,960,TennisBall,487,744,313,590
177,177.jpg,960,1280,TennisBall,173,431,683,944
37,TennisBall44.jpg,275,183,TennisBall,115,152,101,137
172,172.jpg,960,1280,TennisBall,632,823,184,367
95,95.jpg,960,1280,TennisBall,422,575,519,685
112,112.jpg,960,1280,TennisBall,497,653,602,771
134,134.jpg,960,1280,TennisBall,349,613,481,751
78,TennisBall96.jpg,275,183,TennisBall,82,187,49,156
132,132.jpg,960,1280,TennisBall,348,600,432,689
67,TennisBall81.jpg,231,218,TennisBall,91,151,162,205
49,TennisBall58.jpg,215,235,TennisBall,96,162,108,183
62,TennisBall75.jpg,275,183,TennisBall,119,217,68,165
17,TennisBall17.jpg,275,183,TennisBall,57,117,64,124
40,TennisBall47.jpg,259,194,TennisBall,99,157,68,127
152,152.jpg,1280,960,TennisBall,431,727,211,502
211,211.jpg,960,1280,TennisBall,402,520,535,695
184,184.jpg,960,1280,TennisBall,558,618,321,381
243,243.jpg,960,1280,TennisBall,352,578,555,782
209,209.jpg,960,1280,TennisBall,398,583,686,781
159,159.jpg,960,1280,TennisBall,318,768,425,883
226,229.jpg,960,1280,TennisBall,442,489,636,669
26,TennisBall29.jpg,300,168,TennisBall,116,139,47,69
137,137.jpg,960,1280,TennisBall,357,604,530,756
111,111.jpg,1280,960,TennisBall,501,736,354,590
146,146.jpg,960,1280,TennisBall,290,610,507,821
7,TennisBall5.jpg,275,183,TennisBall,149,189,13,54
